description,city,district,street,latitude,longitude,date,price,SQ,price_meter,rooms,sauna
block of flats,Espoo,Matinkylä,Etuniementie1F-G,60.160688,24.722625,Available immediately,799.00,35.00,22.83,1h,no_sauna
block of flats,Espoo,Matinkylä,Kaisankuja1,61.12302,22.138648,Available from 12/20/21,855.00,33.50,25.52,1h,no_sauna
block of flats,Espoo,Matinkylä,Kaisankuja1,61.12302,22.138648,Available from 12/20/21,860.00,33.50,25.67,1h,no_sauna
block of flats,Espoo,Matinkylä,Koronakatu1B,60.166238,24.731531,Available on agreement,820.00,34.00,24.12,1h,no_sauna
block of flats,Espoo,Matinkylä,Koronakatu1B,60.166238,24.731531,Available on agreement,830.00,34.50,24.06,1h,no_sauna
block of flats,Espoo,Matinkylä,Koronakatu1B,60.166238,24.731531,Available on agreement,840.00,34.50,24.35,1h,no_sauna
block of flats,Espoo,Matinkylä,Koronakatu1B,60.166238,24.731531,Available on agreement,865.00,37.00,23.38,1h,no_sauna
block of flats,Espoo,Matinkylä,Matinkallio7,60.164303,24.746589,Available immediately,807.00,33.00,24.45,1h,no_sauna
block of flats,Espoo,Matinkylä,Matinkatu22D,60.15789,24.740306,Available from 1/1/22,750.00,29.00,25.86,1h,no_sauna
block of flats,Espoo,Matinkylä,Pyyntitie1C,65.092511,25.442619,Available from 12/1/21,854.00,32.50,26.28,1h,no_sauna
block of flats,Espoo,Matinkylä,Pyyntitie1C,65.092511,25.442619,Available immediately,849.00,32.50,26.12,1h,no_sauna
block of flats,Espoo,Matinkylä,Pyyntitie1C,65.092511,25.442619,Available immediately,875.00,33.00,26.52,1h,no_sauna
block of flats,Espoo,Matinkylä,Rauhalanpuisto4,60.16415,24.744977,Available immediately,832.00,30.50,27.28,1h,no_sauna
block of flats,Espoo,Niittykumpu,Haukilahdenkatu1A,60.172015,24.764398,Available from 12/1/21,829.00,30.00,27.63,1h,no_sauna
block of flats,Espoo,Niittykumpu,Kappelirinne4A,60.172015,24.764398,"Available immediately|Display 11/30/21 
                  
     ",795.00,29.00,27.41,1h,no_sauna
block of flats,Espoo,Niittykumpu,Kappelirinne4A,60.172015,24.764398,"Available immediately|Display 11/30/21 
                  
     ",795.00,29.50,26.95,1h,no_sauna
block of flats,Espoo,Niittykumpu,Kappelirinne4B,60.172015,24.764398,"Available immediately|Display 11/30/21 
                  
     ",749.00,28.50,26.28,1h,no_sauna
block of flats,Espoo,Niittykumpu,Kappelirinne4B,60.172015,24.764398,"Available immediately|Display 11/30/21 
                  
     ",785.00,29.50,26.61,1h,no_sauna
block of flats,Espoo,Niittykumpu,Kappelirinne4B,60.172015,24.764398,"Available immediately|Display 11/30/21 
                  
     ",795.00,26.50,30.00,1h,no_sauna
block of flats,Espoo,Niittykumpu,Koivu-Mankkaantie1,60.172015,24.764398,Available from 1/1/22,925.00,29.00,31.90,1h,no_sauna
block of flats,Espoo,Niittykumpu,Koivu-Mankkaantie1,60.172015,24.764398,Available immediately,838.00,28.00,29.93,1h,no_sauna
block of flats,Espoo,Niittykumpu,Koivu-Mankkaantie1,60.172015,24.764398,Available immediately,868.00,33.00,26.30,1h,no_sauna
block of flats,Espoo,Niittykumpu,Koivu-Mankkaantie1,60.172015,24.764398,Available immediately,874.00,30.00,29.13,1h,no_sauna
block of flats,Espoo,Niittykumpu,Koivu-Mankkaantie1,60.172015,24.764398,Available immediately,875.00,33.00,26.52,1h,no_sauna
block of flats,Espoo,Niittykumpu,Koivu-Mankkaantie1,60.172015,24.764398,Available immediately,880.00,33.50,26.27,1h,no_sauna
block of flats,Espoo,Niittykumpu,Koivu-Mankkaantie1,60.172015,24.764398,Available immediately,910.00,33.50,27.16,1h,no_sauna
block of flats,Espoo,Niittykumpu,Koivu-Mankkaantie1,60.172015,24.764398,Available immediately,917.00,32.00,28.66,1h,no_sauna
block of flats,Espoo,Niittykumpu,Koivu-Mankkaantie1,60.172015,24.764398,Available immediately,921.00,33.00,27.91,1h,no_sauna
block of flats,Espoo,Niittykumpu,Koivu-Mankkaantie1,60.172015,24.764398,Available immediately,921.00,33.50,27.49,1h,no_sauna
block of flats,Espoo,Niittykumpu,Koivu-Mankkaantie1,60.172015,24.764398,Available immediately,932.00,33.50,27.82,1h,no_sauna
