,address,latitude,longitude
254,"Espoo , Suvela , Kirstinmäki 6",60.201774,24.664871
255,"Espoo , Espoon keskus , Kiltakuja 1",60.199496,24.65491
256,"Espoo , Viherlaakso , Viherlaaksonranta 7 E",60.228216,24.731438
257,"Espoo , Soukka , Soukankaari 13 B",60.141209,24.66778
258,"Espoo , Saunalahti , Reelinkikatu 2",60.167792,24.619457
259,"Espoo , Haukilahti , Hauenkalliontie 12-14 D",60.161137,24.770218
260,"Espoo , Olari , Kuvastimentie 1 F",60.167557,24.735159
261,"Espoo , Suurpelto , Maakirjantie 2",60.184082,24.742871
262,"Espoo , Kivenlahti , Meripoiju 1",60.15724,24.641398
263,"Espoo , Espoon keskus , Asemakuja 1",60.20445,24.659754
264,"Espoo , Leppävaara , Leirikaari 24",60.22063,24.809466
265,"Espoo , Tapiola , Kaupinkalliontie 3 A",60.175487,24.803185
266,"Espoo , Niittykumpu , Niittyportinpolku 2 A",60.172015,24.764398
267,"Espoo , Leppävaara , Vermonrinne 24",60.22063,24.809466
268,"Espoo , Kilo , Nihtitorpankuja 7",60.208414,24.755633
269,"Espoo , Suurpelto , Piilipuuntie 15 B",60.187206,24.740654
270,"Espoo , Karakallio , Kotkatie 6 L",60.229283,24.777225
271,"Espoo , Tapiola , Elosalamantie 2 G",60.175487,24.803185
272,"Espoo , Matinkylä , Matinniitynkuja 8 A",60.159055,24.742541
273,"Espoo , Olari , Piispanpiha 4",60.167557,24.735159
274,"Espoo , Lasilaakso , Lasiportti 2",60.183582,24.581628
275,"Espoo , Leppävaara , Nikkarinkuja 5",60.646788,22.585158
276,"Espoo , Kivenlahti , Aallonhuippu 4",60.15724,24.641398
277,"Espoo , Vermonniitty , Uuno Kailaan katu 6",60.212804,24.831965
278,"Espoo , Tapiola , Jousenkaari 5 A",60.175487,24.803185
279,"Espoo , Leppävaara , Kyyhkysmäki 9 C",60.22063,24.809466
280,"Espoo , Soukka , Soukankaari 13 E",60.141209,24.66778
281,"Espoo , Kilo , Kilonkallionkuja 5 B",60.220968,24.780906
282,"Espoo , Vermonniitty , Anna Sahlsténin katu 10",60.21383,24.827185
283,"Espoo , Niittykumpu , Niittykatu 10 E",60.459372,26.212679
284,"Espoo , Leppävaara , Säterinkuja 1 A 20",60.22063,24.809466
285,"Espoo , Suvela , Joupinmäenrinne 3",60.20271,24.67621
286,"Espoo , Matinkylä , Puolikkotie 6",60.162543,24.73923
287,"Espoo , Suurpelto , Piilipuuntie 7",60.18578,24.740806
288,"Espoo , Espoon keskus , Lyhtykuja 4",60.27528,24.873929
289,"Espoo , Suurpelto , Piilipuuntie 7",60.18578,24.740806
290,"Espoo , Olari , Komeetankuja 3",60.167557,24.735159
291,"Espoo , Olari , Kuusikallionkuja 4",60.167557,24.735159
292,"Espoo , Matinkylä , Matinpuronkuja 2 C",60.161466,24.754101
293,"Espoo , Saunalahti , Pohjoisviitta 1 B",60.165934,24.612039
294,"Espoo , Matinkylä , Matinpuronkuja 2 C",60.161466,24.754101
295,"Espoo , Suurpelto , Suurpellon puistokatu 7 A",60.185735,24.744489
296,"Espoo , Suviniitynkatu 4 B",60.20567,24.665529
297,"Espoo , Niittykumpu , Riihitontuntie 16 B",60.172015,24.764398
298,"Espoo , Saunalahti , Paapuuri 2",60.20956,24.65104
299,"Espoo , Saunalahti , Saunalahdenkatu 2",60.168318,24.619744
300,"Espoo , Tapiola , Ukonvaaja 4",60.175487,24.803185
301,"Espoo , Soukka , Alakartanontie 4 B",60.13667,24.674784
302,"Espoo , Saunalahti , Myötätuulenkatu 8",60.20956,24.65104
303,"Espoo , Leppävaara , Porarinkatu 2 E",60.22063,24.809466
304,"Espoo , Leppävaara , Mestarinkatu 5",60.22063,24.809466
305,"Espoo , Espoonlahti , Amiraalin puistotie 8",60.151215,24.663666
306,"Espoo , Leppävaara , Mestarinkatu 5",60.22063,24.809466
307,"Espoo , Espoon keskus , Reviisorinkatu 8",60.205934,24.666958
308,"Espoo , Suurpelto , Klariksentie 2",60.183715,24.741868
309,"Espoo , Leppävaara , Ratsukatu 4 B",60.22063,24.809466
310,"Espoo , Niittykumpu , Merituulentie 38 A",60.172015,24.764398
311,"Espoo , Rastaspuisto , Tähtimötie 2 B",60.23183,24.779937
312,"Espoo , Olari , Ylismäentie 12",60.167557,24.735159
